Exporter,Importer,Year,Value
American Samoa,Rwanda,2020,0.245
American Samoa,Saint Vincent and the Grenadines,2020,0.088
American Samoa,India,2020,1558.577
American Samoa,Singapore,2020,260.038
American Samoa,Slovakia,2020,516.106
American Samoa,Slovenia,2020,4.263
American Samoa,South Africa,2020,7.627
American Samoa,Spain,2020,7.383
American Samoa,Eswatini,2020,0.714
American Samoa,Sweden,2020,1.3
American Samoa,Switzerland,2020,63.585
American Samoa,Thailand,2020,7.444
American Samoa,Trinidad and Tobago,2020,0.223
American Samoa,United Arab Emirates,2020,167.48600000000002
American Samoa,Türkiye,2020,23.834
American Samoa,North Macedonia,2020,0.116
American Samoa,United Kingdom,2020,89.193
American Samoa,United Rep. of Tanzania,2020,24.252
American Samoa,Burkina Faso,2020,22.389
American Samoa,Uruguay,2020,0.961
American Samoa,Uzbekistan,2020,17.948999999999998
American Samoa,Zambia,2020,0.721
Andorra,Albania,2020,11.596
Andorra,Algeria,2020,1091.288
Andorra,Angola,2020,70.943
Andorra,Azerbaijan,2020,5.054
Andorra,Argentina,2020,1519.147
Andorra,Australia,2020,227.859
Andorra,Austria,2020,486.223
Andorra,Bahrain,2020,7.834
Andorra,Armenia,2020,2.889
Andorra,Barbados,2020,0.35
Andorra,Belgium,2020,418.877
Andorra,Bolivia (Plurinational State of),2020,17.56
Andorra,Bosnia Herzegovina,2020,24.948
Andorra,Brazil,2020,46.645
Andorra,Belize,2020,0.224
Andorra,Brunei Darussalam,2020,1.4
Andorra,Bulgaria,2020,31.71
Andorra,Myanmar,2020,0.269
Andorra,Burundi,2020,32.054
Andorra,Belarus,2020,22.709
Andorra,Cambodia,2020,40.427
Andorra,Cameroon,2020,1.612
Andorra,Canada,2020,236.146
Andorra,Central African Rep.,2020,5.441
Andorra,Sri Lanka,2020,113.669
Andorra,Chile,2020,19.338
Andorra,China,2020,579.706
Andorra,Colombia,2020,178.977
Andorra,Comoros,2020,2.261
Andorra,Congo,2020,5.969
Andorra,Dem. Rep. of the Congo,2020,37.566
Andorra,Costa Rica,2020,16.836000000000002
Andorra,Croatia,2020,7.947
Andorra,Cuba,2020,2.124
Andorra,Cyprus,2020,5.972
Andorra,Czechia,2020,232.648
Andorra,Benin,2020,197.375
Andorra,Denmark,2020,42.71
Andorra,Dominica,2020,0.098
Andorra,Dominican Rep.,2020,5.704000000000001
Andorra,El Salvador,2020,2556.44
Andorra,Ethiopia,2020,212.641
Andorra,Estonia,2020,35.804
Andorra,Finland,2020,1650.331
Andorra,France,2020,18007.762
Andorra,French Polynesia,2020,2.591
Andorra,Djibouti,2020,0.038
Andorra,Gabon,2020,208.976
Andorra,Georgia,2020,4.252
Andorra,Gambia,2020,47.211
Andorra,State of Palestine,2020,36.987
Andorra,Germany,2020,4835.487
Andorra,Ghana,2020,0.58
Andorra,Gibraltar,2020,0.66
Andorra,Kiribati,2020,903.891
Andorra,Greece,2020,514.6270000000001
Andorra,Guatemala,2020,200.801
Andorra,Guyana,2020,17.641000000000002
Andorra,Honduras,2020,338.723
Andorra,"China, Hong Kong SAR",2020,11825.714
Andorra,Hungary,2020,51.684000000000005
Andorra,Iceland,2020,2.158
Andorra,Indonesia,2020,22.694
Andorra,Iraq,2020,5.948
Andorra,Ireland,2020,328.87100000000004
Andorra,Israel,2020,1373.534
Andorra,Italy,2020,1890.957
Andorra,Côte d'Ivoire,2020,12.545000000000002
Andorra,Jamaica,2020,0.131
Andorra,Japan,2020,386.71
Andorra,Kazakhstan,2020,3.672
Andorra,Jordan,2020,278.293
Andorra,Kenya,2020,0.003
Andorra,Dem. People's Rep. of Korea,2020,0.232
Andorra,Rep. of Korea,2020,149.672
Andorra,Kuwait,2020,122.021
Andorra,Kyrgyzstan,2020,0.16
Andorra,Lao People's Dem. Rep.,2020,11.526
Andorra,Lebanon,2020,368.743
Andorra,Latvia,2020,322.048
Andorra,Libya,2020,9.26
Andorra,Lithuania,2020,335.37100000000004
Andorra,Luxembourg,2020,182.6
Andorra,"China, Macao SAR",2020,7.584
Andorra,Madagascar,2020,175.944
Andorra,Malawi,2020,96.591
Andorra,Malaysia,2020,7.205
Andorra,Malta,2020,3.788
Andorra,Mauritania,2020,5.807
Andorra,Mauritius,2020,0.0349999999999999
Andorra,Mexico,2020,220.54
Andorra,"Other Asia, nes",2020,39.75
Andorra,Mongolia,2020,1.21
Andorra,Rep. of Moldova,2020,100.548
Andorra,Montenegro,2020,95.28
Andorra,Morocco,2020,1.488
Andorra,Mozambique,2020,8.864
Andorra,Oman,2020,1.6310000000000002
Andorra,Namibia,2020,59.001
Andorra,Nepal,2020,0.914
Andorra,Netherlands,2020,2733.158
Andorra,New Caledonia,2020,0.039
Andorra,New Zealand,2020,8.466
Andorra,Nicaragua,2020,0.881
Andorra,Niger,2020,349.43
Andorra,Nigeria,2020,1851.571
Andorra,Norfolk Isds,2020,0.117
Andorra,Norway,2020,4764.351000000001
Andorra,Palau,2020,0.027
Andorra,Pakistan,2020,1.185
Andorra,Panama,2020,24.99
Andorra,Papua New Guinea,2020,309.912
Andorra,Paraguay,2020,1.188
Andorra,Peru,2020,2.041
Andorra,Philippines,2020,26.084
Andorra,Poland,2020,255.026
Andorra,Portugal,2020,350.318
Andorra,Timor-Leste,2020,0.066
Andorra,Qatar,2020,39.523
Andorra,Romania,2020,161.287
Andorra,Russian Federation,2020,264.398
Andorra,Rwanda,2020,131.023
Andorra,Saint Lucia,2020,0.015
Andorra,Sao Tome and Principe,2020,0.492
Andorra,Saudi Arabia,2020,92.305
Andorra,Senegal,2020,210.239
Andorra,Serbia,2020,4.036
Andorra,Seychelles,2020,11.134
Andorra,Sierra Leone,2020,0.189
Andorra,India,2020,8.047
Andorra,Singapore,2020,610.7270000000001
Andorra,Slovakia,2020,483.74
Andorra,Viet Nam,2020,15.302
Andorra,Slovenia,2020,124.408
Andorra,South Africa,2020,117.228
Andorra,Zimbabwe,2020,52.345
Andorra,Spain,2020,116630.303
Andorra,Eswatini,2020,129.704
Andorra,Sweden,2020,117.853
Andorra,Switzerland,2020,1706.551
Andorra,Tajikistan,2020,46.949
Andorra,Thailand,2020,69.352
Andorra,Trinidad and Tobago,2020,0.324
Andorra,United Arab Emirates,2020,4033.11
Andorra,Tunisia,2020,41.182
Andorra,Türkiye,2020,15.223
Andorra,Ukraine,2020,28.29
Andorra,North Macedonia,2020,0.1009999999999999
Andorra,Egypt,2020,1.5739999999999998
Andorra,United Kingdom,2020,1137.98
Andorra,USA,2020,5413.495
Andorra,Burkina Faso,2020,24.11
Andorra,Uruguay,2020,4.397
Andorra,Uzbekistan,2020,1.596
Andorra,Zambia,2020,153.688
Angola,Algeria,2020,31.324
Angola,Andorra,2020,232.189
Angola,Antigua and Barbuda,2020,28.808
Angola,Azerbaijan,2020,15.815
Angola,Argentina,2020,81.174
Angola,Australia,2020,583.348
Angola,Austria,2020,134.751
Angola,Bahamas,2020,872.207
Angola,Bahrain,2020,2.118
Angola,Belgium,2020,493245.34
Angola,Bermuda,2020,68847.309
Angola,Bolivia (Plurinational State of),2020,19.969
Angola,Bosnia Herzegovina,2020,7.814999999999999
Angola,Botswana,2020,1124.4050000000002
Angola,Brazil,2020,276134.94
Angola,Belize,2020,243.158
Angola,Brunei Darussalam,2020,37.689
Angola,Bulgaria,2020,71.899
Angola,Myanmar,2020,43512.7
Angola,Belarus,2020,17.261
Angola,Cameroon,2020,4839.059
Angola,Canada,2020,103664.008
Angola,Cabo Verde,2020,338.193
Angola,Cayman Isds,2020,1174.86
Angola,Central African Rep.,2020,136.742
Angola,Sri Lanka,2020,0.139
Angola,Chad,2020,54.746
Angola,Chile,2020,78744.07999999999
Angola,China,2020,13402311.05
Angola,Colombia,2020,21.882
Angola,Congo,2020,58440.577000000005
Angola,Dem. Rep. of the Congo,2020,52194.381
Angola,Costa Rica,2020,0.3949999999999999
Angola,Cuba,2020,1290.07
Angola,Cyprus,2020,915.703
Angola,Czechia,2020,76.934
Angola,Benin,2020,2549.991
Angola,Denmark,2020,527.9159999999999
Angola,Dominican Rep.,2020,25.769
Angola,Ecuador,2020,1.114
Angola,Equatorial Guinea,2020,52.931
Angola,Ethiopia,2020,17.352
Angola,Eritrea,2020,0.009
Angola,Finland,2020,25.201000000000004
Angola,France,2020,511289.458
Angola,French Polynesia,2020,4.663
Angola,Djibouti,2020,91.933
Angola,Gabon,2020,7697.543000000001
Angola,Gambia,2020,15.167
Angola,Germany,2020,5697.4580000000005
Angola,Ghana,2020,10642.856
Angola,Gibraltar,2020,2490.966
Angola,Greece,2020,8914.289
Angola,Guinea,2020,461.547
Angola,Guyana,2020,4.33
Angola,Honduras,2020,5.085
Angola,"China, Hong Kong SAR",2020,35095.571
Angola,Hungary,2020,214.211
Angola,Iceland,2020,2196.961
Angola,Indonesia,2020,33807.136999999995
Angola,Iraq,2020,22.063
Angola,Ireland,2020,3.523
Angola,Israel,2020,81515.27799999999
Angola,Italy,2020,264444.314
Angola,Côte d'Ivoire,2020,6626.752
Angola,Japan,2020,53518.122
Angola,Kazakhstan,2020,17.857
Angola,Kenya,2020,212.841
Angola,Rep. of Korea,2020,161620.562
Angola,Kuwait,2020,46923.579
Angola,Lebanon,2020,203.299
Angola,Liberia,2020,10120.343
Angola,Libya,2020,1.119
Angola,Lithuania,2020,0.767
Angola,Luxembourg,2020,2.894
Angola,Madagascar,2020,1.644
Angola,Malawi,2020,40.208
Angola,Malaysia,2020,60404.929
Angola,Mali,2020,4.472
Angola,Malta,2020,2168.525
Angola,Mauritania,2020,1832.555
Angola,Mauritius,2020,143.778
Angola,Mexico,2020,268.358
Angola,"Other Asia, nes",2020,390194.1530000001
Angola,Rep. of Moldova,2020,52.527
Angola,Montenegro,2020,2.272
Angola,Morocco,2020,23529.752
Angola,Mozambique,2020,3525.178
Angola,Oman,2020,99.423
Angola,Namibia,2020,63972.803
Angola,Netherlands,2020,259924.634
Angola,Vanuatu,2020,42814.057
Angola,New Zealand,2020,12.645
Angola,Nicaragua,2020,9.398
Angola,Niger,2020,157.492
Angola,Nigeria,2020,7106.009
Angola,Norway,2020,218701.797
